Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub01347,1,2,0.416,0.441
sub01348,NaN,NaN,NaN,NaN
sub01349,2,3,0.466,0.492
sub01351,1,2,0.428,0.433
sub01355,3,2,0.418,0.421
sub01356,2,1,0.511,0.527
sub01358,1,2,0.417,0.459
sub01360,1,3,0.421,0.424
sub01361,1,2,0.451,0.46
sub01362,3,4,0.41,0.411
sub01364,1,2,0.421,0.462
sub01365,1,2,0.415,0.441
sub01366,3,1,0.419,0.423
sub01367,3,2,0.441,0.445
sub01368,2,1,0.406,0.427
sub01370,2,1,0.412,0.413
sub01377,2,NaN,0.437,NaN
sub01378,1,4,0.415,0.415
sub01379,3,2,0.446,0.464
sub01384,1,3,0.428,0.436
sub01386,1,2,0.464,0.468
sub01387,1,2,0.417,0.419
sub01388,1,NaN,0.419,NaN
sub01389,1,NaN,0.525,NaN
sub01391,3,1,0.424,0.461
sub01394,2,NaN,0.416,NaN
sub01396,1,4,0.457,0.467
sub01400,1,4,0.437,0.458
sub01403,1,2,0.426,0.441
sub01404,1,3,0.427,0.428
sub01407,2,NaN,0.453,NaN
sub01408,4,3,0.419,0.434
sub01409,2,1,0.432,0.433
sub01411,NaN,NaN,NaN,NaN
sub01412,1,2,0.426,0.427
sub01415,1,3,0.467,0.497
sub01416,4,2,0.44,0.446
sub01419,1,NaN,0.463,NaN
sub01420,1,NaN,0.466,NaN
sub01421,1,2,0.45,0.491
sub01424,4,3,0.437,0.44
sub01425,1,2,0.434,0.448
sub01426,1,2,0.437,0.439
sub01427,1,2,0.415,0.419
sub01428,1,NaN,0.476,NaN
sub01429,1,NaN,0.468,NaN
sub01430,1,NaN,0.501,NaN
sub01431,3,NaN,0.528,NaN
sub01432,3,4,0.413,0.416
sub01433,1,2,0.412,0.419
sub01438,2,1,0.514,0.529
sub01441,4,1,0.414,0.421
sub01442,4,1,0.497,0.537
sub01443,4,NaN,0.449,NaN
sub01448,2,NaN,0.436,NaN
sub01449,1,NaN,0.433,NaN
sub01455,NaN,NaN,NaN,NaN
sub01457,1,NaN,0.426,NaN
sub01458,3,4,0.434,0.4845
sub01462,1,3,0.413,0.417
sub01463,1,NaN,0.418,NaN
sub01467,3,1,0.424,0.426
sub01470,1,2,0.515,0.527
sub01473,1,2,0.411,0.414
sub01474,3,NaN,0.517,NaN
sub01475,2,1,0.405,0.417
sub01476,3,4,0.455,0.46
sub01478,3,1,0.412,0.434
sub01479,NaN,NaN,NaN,NaN
sub01481,3,NaN,0.457,NaN
sub01483,1,2,0.39,0.397
sub01485,1,NaN,0.451,NaN
sub01487,1,NaN,0.461,NaN
sub01488,3,4,0.4,0.411
sub01491,2,NaN,0.468,NaN
sub01492,1,2,0.41,0.422
sub01496,1,2,0.423,0.43
sub01506,1,3,0.412,0.415
sub01513,3,4,0.394,0.4
sub01516,NaN,NaN,NaN,NaN
sub01517,3,2,0.404,0.434
sub01518,2,1,0.427,0.45
sub01519,2,1,0.406,0.416
sub01524,1,2,0.414,0.426
sub01526,NaN,NaN,NaN,NaN
sub01528,2,4,0.456,0.473
sub01531,3,4,0.406,0.415
sub01532,1,NaN,0.518,NaN
sub01533,1,3,0.418,0.424
sub01534,1,3,0.471,0.509
sub01535,4,3,0.396,0.397
sub01536,1,NaN,0.462,NaN
sub01537,2,1,0.421,0.447
sub01538,1,2,0.411,0.438
sub01541,1,3,0.4,0.423
sub01544,3,2,0.429,0.445
sub01546,1,2,0.41,0.41
sub01548,3,2,0.404,0.426
sub01551,1,2,0.418,0.444
sub01553,3,1,0.526,0.535
sub01556,1,2,0.395,0.413
sub01557,1,2,0.403,0.465
sub01558,3,1,0.431,0.436
sub01562,2,NaN,0.413,NaN
sub01564,1,2,0.416,0.449
sub01568,2,1,0.415,0.48
sub01569,4,NaN,0.409,NaN
sub01570,2,NaN,0.409,NaN
sub01571,3,1,0.425,0.429
sub01574,2,3,0.437,0.456
sub01575,1,NaN,0.429,NaN
sub01577,NaN,NaN,NaN,NaN
sub01579,1,4,0.485,0.499
sub01583,1,3,0.507,0.537
sub01585,4,NaN,0.444,NaN
sub01587,1,3,0.427,0.427
sub01589,2,1,0.414,0.417
sub01591,4,2,0.53,0.534
sub01593,1,4,0.414,0.473
sub01594,3,1,0.411,0.429
sub01597,1,2,0.416,0.419
sub01599,1,NaN,0.416,NaN
sub01601,1,3,0.449,0.449
sub01603,1,2,0.433,0.439
sub01604,1,NaN,0.439,NaN
sub01606,1,4,0.414,0.439
sub01608,2,4,0.409,0.413
